2026-05-17 23:31:35.636327 | SRC=10.243.99.167 | DST=104.18.32.47 | PROTO=UDP | SPORT=51555 | DPORT=443
2026-05-17 23:31:35.649964 | SRC=10.243.99.167 | DST=104.18.32.47 | PROTO=UDP | SPORT=51555 | DPORT=443
2026-05-17 23:31:36.952139 | SRC=10.243.99.167 | DST=52.123.253.101 | PROTO=HTTPS | SPORT=51805 | DPORT=443
2026-05-17 23:31:37.004847 | SRC=52.123.253.101 | DST=10.243.99.167 | PROTO=HTTPS | SPORT=443 | DPORT=51805
2026-05-17 23:31:37.009739 | SRC=10.243.99.167 | DST=52.123.253.101 | PROTO=HTTPS | SPORT=51805 | DPORT=443
2026-05-17 23:31:38.430846 | SRC=10.243.99.167 | DST=184.27.197.73 | PROTO=ICMP | SPORT=None | DPORT=None
2026-05-17 23:31:42.441200 | SRC=10.243.99.167 | DST=184.27.197.73 | PROTO=ICMP | SPORT=None | DPORT=None
2026-05-17 23:31:46.442726 | SRC=10.243.99.167 | DST=184.27.197.73 | PROTO=ICMP | SPORT=None | DPORT=None
2026-05-17 23:31:47.909958 | SRC=10.243.99.167 | DST=10.243.99.37 | PROTO=DNS | SPORT=61810 | DPORT=53
2026-05-17 23:31:47.932750 | SRC=10.243.99.167 | DST=10.243.99.37 | PROTO=DNS | SPORT=61319 | DPORT=53
2026-05-17 23:31:47.943411 | SRC=10.243.99.167 | DST=10.243.99.37 | PROTO=DNS | SPORT=54917 | DPORT=53
2026-05-17 23:31:47.956499 | SRC=10.243.99.167 | DST=10.243.99.37 | PROTO=DNS | SPORT=50198 | DPORT=53
2026-05-17 23:31:47.962314 | SRC=10.243.99.167 | DST=10.243.99.37 | PROTO=DNS | SPORT=50178 | DPORT=53
2026-05-17 23:31:47.977295 | SRC=10.243.99.167 | DST=10.243.99.37 | PROTO=DNS | SPORT=63582 | DPORT=53
2026-05-17 23:31:47.990862 | SRC=10.243.99.37 | DST=10.243.99.167 | PROTO=DNS | SPORT=53 | DPORT=50178
2026-05-17 23:31:48.005491 | SRC=10.243.99.37 | DST=10.243.99.167 | PROTO=DNS | SPORT=53 | DPORT=63582
2026-05-17 23:31:48.012342 | SRC=10.243.99.167 | DST=142.251.150.119 | PROTO=UDP | SPORT=65295 | DPORT=443
2026-05-17 23:31:48.027859 | SRC=10.243.99.167 | DST=142.251.150.119 | PROTO=UDP | SPORT=65295 | DPORT=443
2026-05-17 23:31:48.044010 | SRC=10.243.99.167 | DST=142.251.150.119 | PROTO=UDP | SPORT=65295 | DPORT=443
2026-05-17 23:31:48.056585 | SRC=10.243.99.167 | DST=142.251.150.119 | PROTO=UDP | SPORT=65295 | DPORT=443
2026-05-17 23:31:48.064029 | SRC=10.243.99.37 | DST=10.243.99.167 | PROTO=DNS | SPORT=53 | DPORT=61810
2026-05-17 23:31:48.072178 | SRC=184.27.197.73 | DST=10.243.99.167 | PROTO=ICMP | SPORT=None | DPORT=None
2026-05-17 23:31:48.077273 | SRC=10.243.99.37 | DST=10.243.99.167 | PROTO=DNS | SPORT=53 | DPORT=54917
2026-05-17 23:31:48.122727 | SRC=10.243.99.37 | DST=10.243.99.167 | PROTO=DNS | SPORT=53 | DPORT=61319
2026-05-17 23:31:48.136256 | SRC=10.243.99.167 | DST=216.239.38.223 | PROTO=UDP | SPORT=63278 | DPORT=443
2026-05-17 23:31:48.141316 | SRC=10.243.99.167 | DST=216.239.38.223 | PROTO=UDP | SPORT=63278 | DPORT=443
2026-05-17 23:31:48.145635 | SRC=10.243.99.37 | DST=10.243.99.167 | PROTO=DNS | SPORT=53 | DPORT=50198
2026-05-17 23:31:48.151344 | SRC=10.243.99.167 | DST=216.239.38.223 | PROTO=UDP | SPORT=63278 | DPORT=443
2026-05-17 23:31:48.156297 | SRC=142.251.150.119 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=65295
2026-05-17 23:31:48.160697 | SRC=142.251.150.119 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=65295
2026-05-17 23:31:48.166310 | SRC=142.251.150.119 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=65295
2026-05-17 23:31:48.171172 | SRC=142.251.150.119 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=65295
2026-05-17 23:31:48.175444 | SRC=142.251.150.119 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=65295
2026-05-17 23:31:48.178813 | SRC=142.251.150.119 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=65295
2026-05-17 23:31:48.184264 | SRC=142.251.150.119 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=65295
2026-05-17 23:31:48.190595 | SRC=142.251.150.119 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=65295
2026-05-17 23:31:48.194826 | SRC=10.243.99.167 | DST=142.251.150.119 | PROTO=UDP | SPORT=65295 | DPORT=443
2026-05-17 23:31:48.199742 | SRC=10.243.99.167 | DST=142.251.150.119 | PROTO=UDP | SPORT=65295 | DPORT=443
2026-05-17 23:31:48.206212 | SRC=142.251.150.119 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=65295
2026-05-17 23:31:48.210266 | SRC=216.239.38.223 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=63278
2026-05-17 23:31:48.215683 | SRC=216.239.38.223 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=63278
2026-05-17 23:31:48.220137 | SRC=10.243.99.167 | DST=142.251.150.119 | PROTO=UDP | SPORT=65295 | DPORT=443
2026-05-17 23:31:48.223766 | SRC=216.239.38.223 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=63278
2026-05-17 23:31:48.227742 | SRC=216.239.38.223 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=63278
2026-05-17 23:31:48.232433 | SRC=216.239.38.223 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=63278
2026-05-17 23:31:48.237072 | SRC=216.239.38.223 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=63278
2026-05-17 23:31:48.241199 | SRC=142.251.150.119 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=65295
2026-05-17 23:31:48.247448 | SRC=10.243.99.167 | DST=216.239.38.223 | PROTO=UDP | SPORT=63278 | DPORT=443
2026-05-17 23:31:48.255732 | SRC=10.243.99.167 | DST=216.239.38.223 | PROTO=UDP | SPORT=63278 | DPORT=443
2026-05-17 23:31:48.261100 | SRC=10.243.99.167 | DST=216.239.38.223 | PROTO=UDP | SPORT=63278 | DPORT=443
2026-05-17 23:31:48.268035 | SRC=216.239.38.223 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=63278
2026-05-17 23:31:48.274704 | SRC=10.243.99.167 | DST=10.243.99.37 | PROTO=DNS | SPORT=56688 | DPORT=53
2026-05-17 23:31:48.280437 | SRC=10.243.99.167 | DST=10.243.99.37 | PROTO=DNS | SPORT=62844 | DPORT=53
2026-05-17 23:31:48.288040 | SRC=10.243.99.167 | DST=10.243.99.37 | PROTO=DNS | SPORT=59947 | DPORT=53
2026-05-17 23:31:48.293417 | SRC=10.243.99.167 | DST=10.243.99.37 | PROTO=DNS | SPORT=55013 | DPORT=53
2026-05-17 23:31:48.298346 | SRC=10.243.99.167 | DST=10.243.99.37 | PROTO=DNS | SPORT=62803 | DPORT=53
2026-05-17 23:31:48.305960 | SRC=10.243.99.167 | DST=10.243.99.37 | PROTO=DNS | SPORT=63450 | DPORT=53
2026-05-17 23:31:48.310529 | SRC=10.243.99.167 | DST=142.251.150.119 | PROTO=UDP | SPORT=65295 | DPORT=443
2026-05-17 23:31:48.315986 | SRC=142.251.150.119 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=65295
2026-05-17 23:31:48.322730 | SRC=10.243.99.37 | DST=10.243.99.167 | PROTO=DNS | SPORT=53 | DPORT=56688
2026-05-17 23:31:48.329128 | SRC=10.243.99.37 | DST=10.243.99.167 | PROTO=DNS | SPORT=53 | DPORT=62844
2026-05-17 23:31:48.339829 | SRC=10.243.99.37 | DST=10.243.99.167 | PROTO=DNS | SPORT=53 | DPORT=59947
2026-05-17 23:31:48.346165 | SRC=10.243.99.37 | DST=10.243.99.167 | PROTO=DNS | SPORT=53 | DPORT=55013
2026-05-17 23:31:48.356590 | SRC=10.243.99.37 | DST=10.243.99.167 | PROTO=DNS | SPORT=53 | DPORT=62803
2026-05-17 23:31:48.363585 | SRC=216.239.38.223 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=63278
2026-05-17 23:31:48.372155 | SRC=10.243.99.167 | DST=142.251.43.78 | PROTO=UDP | SPORT=63351 | DPORT=443
2026-05-17 23:31:48.379632 | SRC=10.243.99.167 | DST=142.251.43.78 | PROTO=UDP | SPORT=63351 | DPORT=443
2026-05-17 23:31:48.388848 | SRC=10.243.99.37 | DST=10.243.99.167 | PROTO=DNS | SPORT=53 | DPORT=63450
2026-05-17 23:31:48.393967 | SRC=10.243.99.167 | DST=142.250.205.2 | PROTO=UDP | SPORT=64100 | DPORT=443
2026-05-17 23:31:48.400033 | SRC=10.243.99.167 | DST=142.250.205.2 | PROTO=UDP | SPORT=64100 | DPORT=443
2026-05-17 23:31:48.405840 | SRC=10.243.99.167 | DST=142.250.205.2 | PROTO=UDP | SPORT=64100 | DPORT=443
2026-05-17 23:31:48.410526 | SRC=10.243.99.167 | DST=142.250.205.2 | PROTO=UDP | SPORT=64100 | DPORT=443
2026-05-17 23:31:48.418405 | SRC=10.243.99.167 | DST=142.250.205.2 | PROTO=UDP | SPORT=64100 | DPORT=443
2026-05-17 23:31:48.423553 | SRC=216.239.38.223 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=63278
2026-05-17 23:31:48.429258 | SRC=10.243.99.167 | DST=216.239.38.223 | PROTO=UDP | SPORT=63278 | DPORT=443
2026-05-17 23:31:48.435861 | SRC=216.239.38.223 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=63278
2026-05-17 23:31:48.442516 | SRC=142.251.150.119 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=65295
2026-05-17 23:31:48.450180 | SRC=10.243.99.167 | DST=142.251.150.119 | PROTO=UDP | SPORT=65295 | DPORT=443
2026-05-17 23:31:48.458201 | SRC=216.239.38.223 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=63278
2026-05-17 23:31:48.470234 | SRC=10.243.99.167 | DST=216.239.38.223 | PROTO=UDP | SPORT=63278 | DPORT=443
2026-05-17 23:31:48.477452 | SRC=142.251.43.78 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=63351
2026-05-17 23:31:48.491204 | SRC=142.251.43.78 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=63351
2026-05-17 23:31:48.498415 | SRC=142.251.43.78 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=63351
2026-05-17 23:31:48.508988 | SRC=142.251.43.78 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=63351
2026-05-17 23:31:48.521980 | SRC=10.243.99.167 | DST=142.251.43.78 | PROTO=UDP | SPORT=63351 | DPORT=443
2026-05-17 23:31:48.528461 | SRC=10.243.99.167 | DST=142.251.43.78 | PROTO=UDP | SPORT=63351 | DPORT=443
2026-05-17 23:31:48.539925 | SRC=142.251.43.78 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=63351
